temperature_C,humidity_pct,hour_of_day,cloud_cover_pct,people_in_room,room_size_m2,wall_material,fan_speed,season,cooling_needed
37.5,69,20,8,4,14,Concrete,3,Summer,Yes
16.3,33,12,37,1,38,Brick,1,Winter,No
17.8,61,1,86,5,17,Concrete,0,Winter,No
30.5,60,18,19,2,23,Mud,1,Autumn,Yes
46.4,68,7,91,2,10,Mud,2,Summer,Yes
19.4,46,22,44,1,35,Brick,0,Winter,No
24.2,70,6,24,4,29,Mud,0,Autumn,No
42.0,56,6,78,3,23,Brick,2,Summer,Yes
38.0,88,13,7,5,26,Brick,3,Summer,Yes
16.1,52,23,21,1,21,Concrete,0,Winter,No
22.1,50,15,12,3,24,Brick,1,Spring,No
10.3,57,2,9,5,31,Brick,0,Winter,No
19.7,47,10,16,2,15,Brick,0,Winter,No
23.5,40,8,91,3,31,Mud,2,Winter,No
37.6,83,6,8,0,22,Brick,2,Summer,Yes
33.0,90,11,86,0,33,Brick,2,Summer,Yes
41.0,78,2,76,2,33,Brick,3,Summer,Yes
18.2,31,19,17,2,38,Brick,0,Winter,No
23.4,44,11,47,5,10,Brick,1,Winter,No
38.0,53,19,26,6,18,Brick,3,Summer,Yes
32.3,56,3,30,3,18,Brick,2,Autumn,Yes
43.1,54,7,10,4,38,Mud,2,Summer,Yes
29.6,51,19,97,2,14,Mud,2,Spring,Yes
20.6,73,12,4,2,22,Concrete,2,Autumn,No
32.3,39,12,47,2,8,Brick,2,Autumn,Yes
34.5,84,0,94,6,15,Mud,3,Summer,Yes
18.4,55,20,4,1,17,Concrete,1,Winter,No
10.2,40,4,23,1,12,Brick,0,Winter,No
39.9,68,4,87,5,8,Brick,2,Summer,Yes
24.8,60,12,66,2,39,Mud,2,Spring,No
40.8,87,2,73,0,32,Concrete,3,Summer,Yes
25.5,51,15,79,5,8,Mud,2,Autumn,No
17.4,56,14,94,6,32,Brick,0,Winter,No
44.7,77,6,45,3,16,Mud,3,Summer,Yes
10.9,46,14,36,1,14,Brick,0,Winter,No
14.0,58,13,15,3,11,Mud,0,Winter,No
18.3,48,16,81,2,35,Brick,1,Winter,No
12.5,41,21,23,1,16,Brick,0,Winter,No
25.3,66,2,9,5,11,Concrete,0,Spring,Yes
33.7,37,7,81,4,33,Brick,2,Autumn,Yes
38.7,93,20,84,3,33,Brick,2,Summer,Yes
23.8,48,14,23,2,20,Brick,1,Spring,No
35.0,85,22,67,6,36,Brick,3,Summer,Yes
43.7,71,13,53,5,28,Mud,3,Summer,Yes
44.6,91,3,96,4,28,Brick,2,Summer,Yes
23.4,33,4,80,2,27,Concrete,1,Winter,No
26.3,36,2,52,4,13,Brick,1,Spring,No
43.0,57,22,80,3,24,Brick,3,Summer,Yes
11.2,47,15,73,2,38,Brick,0,Winter,No
34.6,84,19,36,3,18,Mud,1,Summer,Yes
23.4,39,17,17,3,39,Concrete,1,Spring,No
29.5,72,20,96,2,11,Concrete,2,Autumn,No
41.7,74,0,9,3,31,Mud,3,Summer,Yes
30.9,63,17,78,3,11,Concrete,3,Spring,No
19.7,61,23,2,4,12,Mud,1,Autumn,No
12.0,52,20,78,5,14,Concrete,0,Winter,No
10.7,58,14,98,5,39,Concrete,0,Winter,No
30.4,44,20,70,5,35,Mud,2,Autumn,Yes
44.5,70,3,82,5,9,Mud,3,Summer,Yes
30.9,58,1,62,0,9,Concrete,2,Summer,Yes
12.6,43,23,59,3,25,Brick,0,Winter,No
22.8,66,10,58,3,31,Brick,2,Autumn,No
36.9,91,11,13,0,40,Mud,3,Summer,Yes
40.8,56,23,41,1,21,Mud,3,Summer,Yes
15.9,46,11,14,1,11,Brick,0,Winter,No
35.4,75,5,79,2,26,Brick,3,Summer,Yes
42.5,75,21,12,6,36,Brick,3,Summer,Yes
25.9,55,0,11,0,10,Concrete,0,Autumn,No
20.4,60,7,6,5,37,Concrete,2,Spring,No
18.4,30,16,12,3,20,Concrete,1,Winter,No
27.6,40,16,76,2,38,Mud,1,Spring,No
12.3,52,10,84,6,40,Brick,1,Winter,No
16.3,59,9,33,0,35,Brick,0,Winter,No
22.7,56,22,4,4,15,Mud,1,Winter,No
19.2,44,5,84,5,36,Brick,0,Spring,No
15.1,52,17,54,6,19,Concrete,0,Winter,No
26.1,52,21,30,4,11,Brick,1,Autumn,No
15.6,59,23,92,4,28,Mud,0,Winter,No
23.0,54,10,42,2,12,Mud,1,Winter,No
46.7,76,19,62,6,23,Concrete,3,Summer,Yes
30.5,53,20,7,0,24,Brick,2,Autumn,No
33.8,64,3,29,5,32,Brick,2,Autumn,Yes
20.9,63,11,88,6,36,Concrete,1,Winter,No
17.8,46,12,81,1,38,Concrete,0,Winter,No
11.5,62,16,77,4,29,Concrete,0,Winter,No
13.3,57,2,62,1,36,Mud,0,Winter,No
15.6,54,21,61,4,16,Concrete,0,Winter,No
26.3,43,10,40,0,17,Concrete,0,Spring,No
28.0,49,19,53,6,29,Brick,1,Spring,Yes
29.2,46,17,60,0,20,Concrete,2,Autumn,No
18.9,47,4,56,0,17,Brick,0,Spring,No
30.0,53,12,54,6,17,Concrete,2,Autumn,No
26.5,74,17,21,4,28,Mud,1,Autumn,Yes
22.2,52,0,28,0,26,Concrete,1,Winter,No
31.9,55,16,25,5,30,Concrete,1,Spring,Yes
19.1,61,7,96,5,24,Brick,0,Winter,No
10.6,31,5,57,0,40,Brick,0,Winter,No
15.4,45,18,6,6,31,Mud,0,Winter,No
18.0,45,2,41,6,13,Brick,0,Spring,No
28.9,35,11,84,3,16,Brick,2,Spring,No
33.9,83,7,24,6,23,Brick,2,Summer,Yes
11.9,31,0,92,0,8,Mud,0,Winter,No
34.1,53,13,23,4,30,Mud,3,Summer,Yes
20.8,59,23,86,2,16,Concrete,1,Winter,No
23.8,64,19,14,2,26,Brick,1,Autumn,No
19.1,62,20,3,5,19,Mud,0,Spring,No
42.6,87,7,12,6,12,Mud,2,Summer,Yes
17.1,50,2,100,1,8,Mud,1,Winter,No
22.6,33,21,41,3,13,Mud,0,Winter,No
27.3,56,23,84,1,8,Brick,1,Spring,No
26.6,41,13,53,2,32,Brick,1,Spring,No
24.7,62,22,51,6,8,Concrete,1,Autumn,No
22.5,53,9,16,4,23,Concrete,0,Winter,No
32.6,40,5,21,2,23,Brick,3,Autumn,No
42.6,79,17,53,5,39,Mud,3,Summer,Yes
31.7,75,0,20,3,32,Mud,3,Summer,Yes
45.1,78,9,63,2,19,Brick,3,Summer,Yes
25.5,59,1,19,2,20,Brick,0,Autumn,No
35.8,51,22,73,1,14,Concrete,3,Summer,Yes
12.6,33,11,52,0,23,Mud,0,Winter,No
28.4,61,11,89,0,15,Mud,2,Autumn,No
33.8,45,14,99,2,39,Mud,1,Autumn,Yes
31.6,86,20,75,4,21,Mud,2,Summer,Yes
27.3,56,12,74,5,17,Brick,1,Autumn,Yes
33.5,77,22,41,0,15,Mud,2,Summer,Yes
15.8,61,1,45,1,16,Brick,1,Winter,No
34.2,64,5,29,1,9,Concrete,2,Summer,Yes
25.4,67,9,54,5,22,Mud,0,Spring,Yes
31.3,40,3,37,3,39,Mud,1,Spring,Yes
23.1,43,21,61,0,23,Brick,1,Autumn,No
31.1,67,17,37,3,35,Concrete,2,Autumn,No
29.1,40,15,62,0,32,Concrete,2,Spring,No
26.9,61,0,55,6,17,Mud,1,Spring,Yes
18.9,39,11,39,1,38,Brick,0,Winter,No
40.2,53,11,62,6,25,Mud,3,Summer,Yes
16.3,41,6,90,5,32,Concrete,0,Winter,No
31.3,60,8,74,5,21,Brick,2,Spring,Yes
24.7,51,4,65,2,19,Brick,1,Autumn,No
19.3,34,15,74,4,18,Brick,0,Winter,No
21.9,35,21,67,1,12,Mud,0,Autumn,No
45.5,83,4,97,3,26,Concrete,3,Summer,Yes
35.4,81,17,98,3,21,Brick,2,Summer,Yes
27.8,49,10,17,6,35,Brick,1,Autumn,Yes
35.7,88,19,24,2,38,Concrete,3,Summer,Yes
43.0,60,18,10,3,28,Mud,3,Summer,Yes
26.2,50,8,41,2,15,Concrete,2,Spring,No
14.7,45,19,13,5,15,Concrete,0,Winter,No
21.1,40,22,15,0,21,Brick,2,Autumn,No
11.9,50,18,25,1,23,Brick,0,Winter,No
15.9,60,12,55,1,24,Brick,0,Winter,No
26.3,39,2,69,5,11,Brick,1,Autumn,No
19.4,64,18,35,2,33,Concrete,1,Winter,No
28.5,60,19,16,3,15,Mud,3,Spring,Yes
17.5,61,6,6,3,9,Mud,0,Winter,No
19.1,56,19,34,1,8,Concrete,1,Winter,No
19.5,40,10,39,3,32,Mud,0,Autumn,No
37.9,63,8,41,1,28,Concrete,2,Summer,Yes
12.5,37,1,83,0,21,Concrete,0,Winter,No
23.5,41,21,96,6,39,Mud,1,Spring,No
28.3,65,0,57,5,26,Concrete,2,Spring,No
18.4,43,11,62,1,17,Concrete,1,Winter,No
21.8,49,3,52,1,18,Brick,1,Spring,No
13.0,50,21,78,4,33,Concrete,0,Winter,No
19.0,41,8,21,3,27,Mud,0,Autumn,No
12.9,33,10,52,1,10,Concrete,0,Winter,No
15.0,34,8,26,6,28,Mud,1,Winter,No
11.5,31,2,46,4,21,Concrete,0,Winter,No
